experiment,mode,statement_a,statement_b,category,label,graphmed_pred,graphmed_confidence,graphmed_mode,graphmed_runtime_mode,graphmed_provider,baseline_pred,baseline_confidence,baseline_runtime_mode,baseline_provider,llm_prompt_pred,llm_prompt_confidence,llm_prompt_mode,llm_prompt_runtime_mode,llm_prompt_provider
E3,full_stack,Currently taking warfarin daily,No anticoagulants are being taken,drug_conflict,1,1,0.9908512234687805,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Metformin 1000mg BID,Metformin was never prescribed,drug_conflict,1,1,0.9915170669555664,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Patient started insulin glargine,Patient is not on insulin,drug_conflict,1,1,0.936625063419342,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Uses lisinopril 10mg,Lisinopril discontinued and never restarted,drug_conflict,1,1,0.998414158821106,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,On aspirin 81mg,No antiplatelet medications,drug_conflict,1,1,0.9892998933792114,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Taking atorvastatin,No lipid-lowering therapy,drug_conflict,1,1,0.99410480260849,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Receiving heparin prophylaxis,No heparin exposure,drug_conflict,1,1,0.9908061623573303,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Prednisone currently active,No steroid treatment,drug_conflict,1,1,0.9725985527038574,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Uses amlodipine daily,No antihypertensive medication,drug_conflict,1,1,0.9876189231872559,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,On levothyroxine,No thyroid medication,drug_conflict,1,1,0.9969754219055176,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Prescribed clopidogrel,No blood thinner prescriptions,drug_conflict,1,1,0.9942779541015625,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Takes furosemide,No diuretic in medication list,drug_conflict,1,1,0.9972594976425171,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Started gabapentin,No neuropathy medication,drug_conflict,1,1,0.991048276424408,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,On metoprolol,No beta blocker therapy,drug_conflict,1,1,0.9702693223953247,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
E3,full_stack,Using omeprazole,No GI acid suppression meds,drug_conflict,1,1,0.9713440537452698,lora,lora,unknown,0,0.5,no_classifier_baseline,none,0,0.0,llm_prompt_unavailable,llm_prompt_unavailable,unknown
